name,fans,fave,tags,vote
944894-Happy+Halloween-romwe-dress,520,57 favorites,"['Vintage', 'Holiday Party', 'fall']",342 votes
1086869-Holidaze-off-white-rosenthal-tee-dress,20444,70 favorites,"['Formal', 'Wedding', 'fall']",438 votes
1167751-Reckless-shein-dress-star-harvest-jewelry-necklace-schutz-sandals,31856,49 favorites,"['Chic', 'Brunch', 'summer']",327 votes
965727-Purple+Velvet-deep-purple-velvet-gypsy-05-dress-deep-purple-skinny-j-brand-jeans,560,70 favorites,"['Bohemian', 'Holiday Party', 'winter']",362 votes
1128239-Lady+in+Red-anarchy-street-bracelet-beige-charlotte-russe-shoes-hot-pink-sheinside-dress,1340,67 favorites,"['Romantic', 'Other', 'Summer']",364 votes
1063927-A+Dash+of+Here-white-white-taobao-socks-crimson-cut-out-jeffrey-campbell-boots,1736,70 favorites,"['Chic', 'Photo Shoot', 'Summer']",353 votes
1061373-green+and+yellow-green-zara-dress-yellow-sweater-red-promod-necklace,332,53 favorites,"['Business Casual', 'Everyday', 'summer']",351 votes
1045810-Hues+of+Blue-sky-blue-pretty-attitude-necklace-navy-savannah-dress-motel-dress,5121,84 favorites,"['Chic', 'Everyday', 'summer']",363 votes
1126619-Blue+Ruffles-dresslink-dress,31856,71 favorites,"['Chic', 'Brunch', 'summer']",344 votes
959902-Fall+Tulle+Faux+Leather+Jacket-black-jacket-brick-red-h-ampm-dress-off-white-tulle-mini-space46-skirt,13,37 favorites,"['Trendy', 'Dinner Date', 'fall']",165 votes
1037638-I+heart+Koshka-navy-grid-motel-rocks-dress-navy-cat-eye-spitfire-sunglasses,8948,74 favorites,"['Trendy', 'Everyday', 'Summer']",385 votes
981196-BLACK+GREY-gray-oasap-dress,890,22 favorites,"['Chic', 'Dinner Date', 'winter', 'gray']",212 votes
1145031-Red+Rose+Rendezvous-black-floral-the-pretty-dress-company-dress-silver-crystal-old-earrings,1033,50 favorites,"['50s', 'Holiday Party', 'winter']",288 votes
1039204-Sunny+dress-zara-dress-parfois-sunglasses-casadei-heels-h-m-belt,58,40 favorites,"['Casual', 'Casual Party', 'summer']",362 votes
1014188-TARTAN-tartan-dress-brown-leather-watch,439,52 favorites,"['Casual', 'Everyday', 'spring']",361 votes
974793-You+are+my+candy+girl-hot-pink-candy-clutch-margiela-for-h-m-bag-black-inlovewithfashion-dress,2,63 favorites,"['Elegant', 'Wedding', 'fall']",399 votes
972508-DIY+Cupcake+Candy+Dress-light-pink-diy-dress,7135,66 favorites,"['DIY', 'Everyday', 'summer', 'diy']",414 votes
